,Compound Rating,Date,Negative Rating,Neutral Rating,Positive Rating,Source Account,Text
0,-0.5994,Mon Apr 09 19:01:07 +0000 2018,0.17,0.83,0.0,BBC,"In this five-part immersive living history series, the training programme of one of World War Two's most covert org… https://t.co/WMq4ME93CR"
1,-0.0772,Mon Apr 09 18:04:06 +0000 2018,0.064,0.936,0.0,BBC,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/bJp258jCaL"
2,0.7184,Mon Apr 09 17:02:07 +0000 2018,0.0,0.727,0.273,BBC,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3"
3,0.0,Mon Apr 09 16:43:45 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM"
4,0.0,Mon Apr 09 16:34:07 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…
5,0.0,Mon Apr 09 16:26:04 +0000 2018,0.0,1.0,0.0,BBC,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R"
6,0.6239,Mon Apr 09 16:04:04 +0000 2018,0.0,0.494,0.506,BBC,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU
7,0.4003,Mon Apr 09 15:42:30 +0000 2018,0.0,0.856,0.144,BBC,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…
8,0.5411,Mon Apr 09 15:29:26 +0000 2018,0.0,0.811,0.189,BBC,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn"
9,0.5267,Mon Apr 09 15:07:08 +0000 2018,0.0,0.793,0.207,BBC,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv"
10,0.5267,Mon Apr 09 14:02:03 +0000 2018,0.0,0.855,0.145,BBC,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL"
11,0.4404,Mon Apr 09 13:01:05 +0000 2018,0.0,0.707,0.293,BBC,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p"
12,0.0,Mon Apr 09 12:31:27 +0000 2018,0.0,1.0,0.0,BBC,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe
13,0.0,Mon Apr 09 12:28:16 +0000 2018,0.0,1.0,0.0,BBC,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7"
14,0.34,Mon Apr 09 12:14:30 +0000 2018,0.0,0.888,0.112,BBC,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…"
15,0.6705,Mon Apr 09 12:12:54 +0000 2018,0.0,0.792,0.208,BBC,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…"
16,0.0,Mon Apr 09 12:02:02 +0000 2018,0.0,1.0,0.0,BBC,Flipping the script on dyslexia. https://t.co/rW1FLygX9V
17,0.0,Mon Apr 09 11:50:07 +0000 2018,0.0,1.0,0.0,BBC,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz"
18,-0.2023,Mon Apr 09 11:27:01 +0000 2018,0.098,0.833,0.068,BBC,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…
19,0.6757,Mon Apr 09 11:16:03 +0000 2018,0.083,0.649,0.268,BBC,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC"
20,0.0,Mon Apr 09 10:41:24 +0000 2018,0.0,1.0,0.0,BBC,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ"
21,0.0,Mon Apr 09 08:56:59 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2
22,-0.3252,Mon Apr 09 08:40:53 +0000 2018,0.109,0.891,0.0,BBC,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6"
23,0.0,Mon Apr 09 08:01:01 +0000 2018,0.0,1.0,0.0,BBC,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH"
24,-0.3182,Mon Apr 09 07:27:04 +0000 2018,0.103,0.897,0.0,BBC,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO"
25,0.0,Mon Apr 09 07:00:14 +0000 2018,0.0,1.0,0.0,BBC,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo
26,0.0,Sun Apr 08 19:02:05 +0000 2018,0.0,1.0,0.0,BBC,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3"
27,0.4939,Sun Apr 08 18:03:03 +0000 2018,0.0,0.686,0.314,BBC,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8
28,0.25,Sun Apr 08 17:25:08 +0000 2018,0.088,0.765,0.147,BBC,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH"
29,0.0,Sun Apr 08 17:07:02 +0000 2018,0.0,1.0,0.0,BBC,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a"
30,0.0,Sun Apr 08 16:40:55 +0000 2018,0.0,1.0,0.0,BBC,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…"
31,-0.2263,Sun Apr 08 16:07:03 +0000 2018,0.106,0.894,0.0,BBC,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0
32,0.0,Sun Apr 08 15:31:00 +0000 2018,0.0,1.0,0.0,BBC,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0"
33,0.0,Sun Apr 08 15:11:04 +0000 2018,0.0,1.0,0.0,BBC,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB"
34,-0.2023,Sun Apr 08 13:54:07 +0000 2018,0.189,0.811,0.0,BBC,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01
35,0.875,Sun Apr 08 13:23:39 +0000 2018,0.0,0.607,0.393,BBC,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…"
36,0.2732,Sun Apr 08 13:03:04 +0000 2018,0.0,0.488,0.512,BBC,😂 'Surprise me'. https://t.co/Jo7illTafh
37,-0.0772,Sun Apr 08 11:00:15 +0000 2018,0.064,0.936,0.0,BBC,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH"
38,0.5859,Sun Apr 08 10:15:06 +0000 2018,0.0,0.787,0.213,BBC,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…"
39,0.3818,Sun Apr 08 10:01:07 +0000 2018,0.0,0.88,0.12,BBC,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX"
40,0.0,Sun Apr 08 09:08:02 +0000 2018,0.0,1.0,0.0,BBC,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh"
41,0.0,Sun Apr 08 08:17:18 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW
42,0.6369,Sun Apr 08 08:08:07 +0000 2018,0.0,0.792,0.208,BBC,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI"
43,0.3612,Sun Apr 08 07:02:06 +0000 2018,0.0,0.783,0.217,BBC,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU
44,0.5719,Sat Apr 07 18:00:22 +0000 2018,0.0,0.748,0.252,BBC,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU
45,0.0,Sat Apr 07 17:19:26 +0000 2018,0.0,1.0,0.0,BBC,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…"
46,-0.7269,Sat Apr 07 17:04:03 +0000 2018,0.405,0.523,0.072,BBC,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5
47,0.6515,Sat Apr 07 16:00:23 +0000 2018,0.0,0.581,0.419,BBC,"😲 Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn"
48,0.6908,Sat Apr 07 15:01:03 +0000 2018,0.0,0.759,0.241,BBC,Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.… https://t.co/zI9pN0zSVo
49,0.0,Sat Apr 07 14:33:46 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It's…"
50,0.0,Sat Apr 07 14:00:31 +0000 2018,0.0,1.0,0.0,BBC,"🌎📸 Our pick of the most striking news photographs taken around the world recently.
👉 https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra"
51,-0.5719,Sat Apr 07 13:00:20 +0000 2018,0.222,0.778,0.0,BBC,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56
52,-0.296,Sat Apr 07 12:07:08 +0000 2018,0.154,0.748,0.098,BBC,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost like… https://t.co/lrGhiKBaGZ"
53,0.0,Sat Apr 07 11:19:19 +0000 2018,0.0,1.0,0.0,BBC,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe"
54,0.0,Sat Apr 07 11:00:57 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of his…
55,0.69,Sat Apr 07 11:00:18 +0000 2018,0.0,0.749,0.251,BBC,"What an inspiration! 💪 

❤️ Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN"
56,0.0,Sat Apr 07 10:26:52 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCSport: It's a historic victory for Uganda! 🙌 

Earlier today they recorded their first ever victory at the Commonwealth games with a…"
57,0.0,Sat Apr 07 10:05:06 +0000 2018,0.0,1.0,0.0,BBC,🍓🍒 Did you know that cherries and strawberries represented the souls of men? Or that a dragonfly could be the devil… https://t.co/s9rFhv5wlu
58,-0.8658,Sat Apr 07 09:00:12 +0000 2018,0.363,0.637,0.0,BBC,"Losing your hair whilst going through cancer treatment can be distressing. 

This shop decided to try and do someth… https://t.co/mcOgFrRtdq"
59,0.0,Sat Apr 07 08:00:16 +0000 2018,0.0,1.0,0.0,BBC,🗑🤖 This trash collecting robot can be controlled by anyone via the internet. https://t.co/N2gbeP2nIo
60,0.34,Sat Apr 07 07:54:05 +0000 2018,0.0,0.906,0.094,BBC,"RT @bbcgetinspired: 'Women don't just stay at home and look after the kids, we don't just do dance or gymnastics, we play tennis, football…"
61,0.4588,Sat Apr 07 07:03:06 +0000 2018,0.0,0.769,0.231,BBC,😍🐿 These baby red squirrels are too cute to handle. https://t.co/d2r7c8EyUh
62,0.0,Fri Apr 06 19:48:37 +0000 2018,0.0,1.0,0.0,BBC,"RT @bbcmusic: Jade, this was INCREDIBLE 😍
#SoundsLikeFridayNight https://t.co/rSGnYVTFYu"
63,0.0,Fri Apr 06 18:07:07 +0000 2018,0.0,1.0,0.0,BBC,🤔 Modern life is a mystery. https://t.co/a4817Iugzz
64,0.0,Fri Apr 06 17:32:05 +0000 2018,0.0,1.0,0.0,BBC,"Tune in to #SLFN tonight for performances from @snowpatrol, @Meghan_Trainor, @yearsandyears and @halsey. 🎶🎤🎉

Sound… https://t.co/EFjiBk5upm"
65,0.0,Fri Apr 06 16:13:08 +0000 2018,0.0,1.0,0.0,BBC,RT @bbcpointswest: 🤩 Prince Harry and Meghan Markle arrive in Bath for the Invictus Games trials 🤩 https://t.co/ywlHvaHt2z
66,-0.1531,Fri Apr 06 16:08:04 +0000 2018,0.124,0.78,0.096,BBC,"😂 If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob"
67,-0.7777,Fri Apr 06 16:02:36 +0000 2018,0.332,0.621,0.047,BBC,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! 😂https://t.co/SyX…"
68,0.6037,Fri Apr 06 15:23:45 +0000 2018,0.0,0.64,0.36,BBC,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe"
69,0.8126,Fri Apr 06 15:22:01 +0000 2018,0.0,0.72,0.28,BBC,"🎻 Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument too… https://t.co/fG0F3x2eDN"
70,0.0,Fri Apr 06 15:20:18 +0000 2018,0.0,1.0,0.0,BBC,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! 🙌 

➡ https://t.co/9sFYGzsgnQ #GetIns…"
71,0.0,Fri Apr 06 15:02:33 +0000 2018,0.0,1.0,0.0,BBC,RT @bbcmusic: Counting down the seconds TBH 💅@LittleMix https://t.co/6UTrz9gqQr
72,0.5499,Fri Apr 06 15:02:05 +0000 2018,0.282,0.332,0.385,BBC,🍞🍻 Hate food waste but love beer? https://t.co/IL9jmlaMjs
73,-0.5849,Fri Apr 06 14:30:39 +0000 2018,0.31,0.559,0.13,BBC,"RT @BBCRadio3: ""Stop being so selfish – this isn’t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacher’s cont…"
74,0.0,Fri Apr 06 14:07:06 +0000 2018,0.0,1.0,0.0,BBC,"🐘 🦏🦒🔭
Saving animals using space technology. https://t.co/gAwJcD2I2A"
75,-0.4215,Fri Apr 06 13:02:05 +0000 2018,0.171,0.741,0.088,BBC,"🍿🎟 From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
👉… https://t.co/b15kbsQ7MD"
76,0.0,Fri Apr 06 12:18:09 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCOne: For all the drama queens. 👑 https://t.co/RfdMDieaCZ
77,0.2023,Fri Apr 06 12:03:05 +0000 2018,0.0,0.899,0.101,BBC,💃🕺 Meet the dancers from Lagos who've been tipped for the top by @Rihanna and @NaomiCampbell. https://t.co/3ySZPqcyBr
78,0.8617,Fri Apr 06 11:32:15 +0000 2018,0.0,0.689,0.311,BBC,"RT @BBCSport: Gareth Evans absolutely loved it! 💪 

This is how it felt to win Wales' first gold! 🥇🏴󠁧󠁢󠁷󠁬󠁳󠁿

#GC2018 #bbcgoldcoast https://t…"
79,0.0,Fri Apr 06 11:00:06 +0000 2018,0.0,1.0,0.0,BBC,"🦁🦏🐆 
Royal pets are now more synonymous with corgis than wild animals, but historically monarchs would own an array… https://t.co/5VVyiWHPv1"
80,0.0,Fri Apr 06 10:10:03 +0000 2018,0.0,1.0,0.0,BBC,"😻 Say hello to Willow the cheetah! 
#BigCatsAboutTheHouse https://t.co/e9xNVjR0gi"
81,0.0,Fri Apr 06 08:58:33 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCSport: It all happened in the weightlifting... #GC2018 https://t.co/s8qnPsuyaz
82,0.0,Fri Apr 06 08:30:51 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCBreakfast: All you need to know about the 'sugar tax' and how your favourite soft drink may change. https://t.co/mjFwTN1UHs
83,0.25,Fri Apr 06 08:08:50 +0000 2018,0.0,0.905,0.095,BBC,RT @bbcpress: 📸 #FirstLook at Eleanor Tomlinson and Rafe Spall in @BBCOne adaptation of H.G. Wells' #WarOfTheWorlds as filming begins: http…
84,0.0,Fri Apr 06 08:00:17 +0000 2018,0.0,1.0,0.0,BBC,"😲🎨🇿🇦 Hotel or modern art museum?
#AmazingHotels https://t.co/Xbmjzviivh"
85,0.4579,Fri Apr 06 07:00:09 +0000 2018,0.067,0.779,0.154,BBC,"It might not always feel like it, but psychologist @sapinker is convinced that the world is on the up. https://t.co/a8PrDXjDcL"
86,-0.6908,Thu Apr 05 20:02:00 +0000 2018,0.217,0.783,0.0,BBC,"'There’s the England before Stephen, and there’s the England after Stephen.' 

Stephen: The Murder That Changed a N… https://t.co/BLynBXYH7I"
87,0.7096,Thu Apr 05 18:00:24 +0000 2018,0.0,0.629,0.371,BBC,"🐆 Could building walkways in nature help save these big cats?
#BigCatsAboutTheHouse https://t.co/NdkxCDBpee"
88,0.0,Thu Apr 05 17:02:05 +0000 2018,0.0,1.0,0.0,BBC,"😋😋 Pocket-friendly recipes for two.
👉 https://t.co/CzuDNQNw3B https://t.co/xbrrmlIgNF"
89,-0.765,Thu Apr 05 16:00:17 +0000 2018,0.32,0.68,0.0,BBC,"👀 From illegal ivory to taxidermy, take a peek inside the banned wildlife room at Heathrow Airport. https://t.co/8yIok0eobX"
90,0.0,Thu Apr 05 15:55:28 +0000 2018,0.0,1.0,0.0,BBC,RT @bbccomedy: Smithy is an irl ray of #sunshine. https://t.co/NgA4t4jZob
91,0.0,Thu Apr 05 14:34:17 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCTheOneShow: ..@DIYSOS  are building a gym and community area for the Grenfell community, but @MrNickKnowles needs something specific…"
92,0.0028,Thu Apr 05 12:59:08 +0000 2018,0.118,0.724,0.159,BBC,"RT @bbcmusic: STOP EVERYTHING: @GaryBarlow is coming to Sounds Like Friday Night 🙌💪 
Don't miss it: 7.30pm, Friday, @BBCOne 💫#SLFN https://…"
93,0.4588,Thu Apr 05 12:37:24 +0000 2018,0.0,0.75,0.25,BBC,"RT @BBCOne: You took your sweet time. 

#Poldark #sunshine https://t.co/Ep33Zt5YZi"
94,-0.2263,Thu Apr 05 11:56:05 +0000 2018,0.119,0.881,0.0,BBC,"It's time society stopped judging black women by their hair, British-Somali artist @blackpowerpufff says.… https://t.co/lRmAfxmefR"
95,0.0,Thu Apr 05 11:01:08 +0000 2018,0.0,1.0,0.0,BBC,📚 A biography about conjoined twins from Siam who became US slave-owners + 9 other books to bury your nose in this… https://t.co/1UfP6LTH0i
96,0.0,Thu Apr 05 10:26:16 +0000 2018,0.0,1.0,0.0,BBC,RT @BBCSport: Scotland's Hannah Miley takes the silver in the women's 400m individual medley! 🥈 https://t.co/GrailyYrno #bbcgoldcoast https…
97,0.4215,Thu Apr 05 10:22:47 +0000 2018,0.0,0.797,0.203,BBC,😍🐿 A trio of baby red squirrels have been rescued in Perthshire.  https://t.co/d2r7c8EyUh
98,0.6027,Thu Apr 05 10:03:28 +0000 2018,0.0,0.843,0.157,BBC,"RT @BBCBreakfast: Some GOOD plastic news!
Marine conservationists say the 5p carrier bag charge has reduced the amount of single use plasti…"
99,0.0,Thu Apr 05 09:55:45 +0000 2018,0.0,1.0,0.0,BBC,"RT @BBCRadio2: What happens when you put one harp, three fiddles, and the cream of the folk world in one room?

We brought together @elizac…"
100,0.0,Mon Apr 09 17:29:47 +0000 2018,0.0,1.0,0.0,CBS,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa"
101,0.0,Mon Apr 09 17:00:02 +0000 2018,0.0,1.0,0.0,CBS,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ"
102,0.2732,Mon Apr 09 15:00:00 +0000 2018,0.086,0.784,0.129,CBS,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu
103,0.6239,Mon Apr 09 13:36:00 +0000 2018,0.0,0.786,0.214,CBS,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb
104,0.6467,Mon Apr 09 01:42:06 +0000 2018,0.0,0.72,0.28,CBS,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq
105,0.7096,Sun Apr 08 22:00:01 +0000 2018,0.0,0.742,0.258,CBS,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN
106,0.5562,Sun Apr 08 18:38:13 +0000 2018,0.0,0.854,0.146,CBS,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ
107,0.4199,Sun Apr 08 15:00:00 +0000 2018,0.0,0.892,0.108,CBS,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme"
108,0.6696,Sat Apr 07 19:35:08 +0000 2018,0.0,0.817,0.183,CBS,Watch some of the biggest names in golf compete in one of the greatest tournaments of the year! Stream #TheMasters… https://t.co/e8kbkSLx5k
109,0.0,Sat Apr 07 18:28:03 +0000 2018,0.0,1.0,0.0,CBS,Tonight's the night! Here's a behind-the-scenes look at season 2 of @RansomCBS before the big premiere. Tune in at… https://t.co/WtRHvufO7H
110,0.3612,Sat Apr 07 16:30:02 +0000 2018,0.0,0.894,0.106,CBS,What song will @DierksBentley belt out when he takes the stage to perform at the 53rd #ACMawards? Get ready to sing… https://t.co/oEtKJnKQVn
111,0.0,Sat Apr 07 15:31:12 +0000 2018,0.0,1.0,0.0,CBS,"@johnlegend, @mirandalambert, @KeshaRose, and more perform @eltonofficial's hit songs! Watch Elton John: I'm Still… https://t.co/VF3hf8OCT7"
112,0.0,Fri Apr 06 21:10:18 +0000 2018,0.0,1.0,0.0,CBS,Ask 53rd ACM Awards® host @reba a question and she just may answer it on April 11 at 5:30p ET/2:30p PT when she tak… https://t.co/DAa5gQS8oX
113,0.0,Fri Apr 06 17:00:00 +0000 2018,0.0,1.0,0.0,CBS,What’s @eltonofficial's birth name and which of his songs holds the record for biggest selling single of all time?… https://t.co/N5qkMYCE7e
114,0.0,Fri Apr 06 13:45:00 +0000 2018,0.0,1.0,0.0,CBS,Do you have a question for country music legend and host of the 53rd ACM Awards® @reba? Write it below for a chance… https://t.co/yVVDVFpxDM
115,0.5859,Thu Apr 05 21:44:00 +0000 2018,0.0,0.806,0.194,CBS,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa
116,0.6597,Thu Apr 05 19:07:48 +0000 2018,0.0,0.759,0.241,CBS,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh"
117,-0.3875,Thu Apr 05 17:00:00 +0000 2018,0.157,0.769,0.074,CBS,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3"
118,0.807,Wed Apr 04 22:07:01 +0000 2018,0.0,0.687,0.313,CBS,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ
119,0.7568,Wed Apr 04 21:48:07 +0000 2018,0.0,0.712,0.288,CBS,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…"
120,0.8495,Wed Apr 04 21:47:26 +0000 2018,0.0,0.634,0.366,CBS,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…"
121,0.4926,Wed Apr 04 21:46:13 +0000 2018,0.0,0.803,0.197,CBS,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg
122,-0.3182,Wed Apr 04 21:44:17 +0000 2018,0.095,0.905,0.0,CBS,RT @survivorcbs: There's a lot at stake when competing for actual steak. Get a glimpse at an all-new #Survivor: Ghost Island at 8/7c on CBS…
123,-0.25,Wed Apr 04 18:02:13 +0000 2018,0.133,0.867,0.0,CBS,RT @TVLine: #LifeInPieces Sneak Peek: Sophia and Her Stuffed Toys Stage a Musical Protest https://t.co/r16SLZlZPc
124,0.0,Tue Apr 03 23:00:00 +0000 2018,0.0,1.0,0.0,CBS,Whose catchy tune will take Song Of The Year at the 53rd #ACMawards? Give it up for the four nominees -… https://t.co/R9MtUNZtsw
125,0.0,Tue Apr 03 21:00:02 +0000 2018,0.0,1.0,0.0,CBS,"Here's everything you need to know before tuning into Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday,… https://t.co/C8fiKl4j98"
126,0.7096,Tue Apr 03 18:00:00 +0000 2018,0.0,0.742,0.258,CBS,"In just one week, @eltonofficial and today's hottest stars in music will join together to celebrate Elton's countle… https://t.co/ACQGHNWz8u"
127,0.7906,Tue Apr 03 05:17:01 +0000 2018,0.0,0.579,0.421,CBS,Tonight we #LightItUpBlue for greater understanding and acceptance. CBS supports #WorldAutismAwarenessDay by lighti… https://t.co/hBAXcDvP4r
128,0.1513,Mon Apr 02 17:30:00 +0000 2018,0.092,0.792,0.116,CBS,No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton… https://t.co/ckY4bUvTXI
